field_id_hash,sample_id,treatment,growth_stage,rep,pair,fresh_weight_field,cci_average_field,dry_weight_lab,nitrogen_percentage_lab,g_n_plant_lab
03ec4143,a40e25da,4,V7,1,3,93,63.3125,21.7,3.81,0.413385
03ec4143,d5dc3684,4,V7,2,1,114,65.0375,26.5,4.11,0.544575
03ec4143,d136ecb0,4,V7,2,2,96,56.9,21.6,4.19,0.45252
03ec4143,6febf08c,4,V7,2,3,134,62.025,27.8,4.04,0.56156
03ec4143,9618e253,4,V7,3,1,131,66.2625,28.3,4.33,0.612695
03ec4143,6f9dc347,4,V7,3,2,123,57.975,27.5,4.05,0.556875
03ec4143,5d41e6cc,4,V7,3,3,97,58.95,33.4,3.89,0.64963
16f65bde,b3781f11,1,V9,1,1,305,45.275,59.9,2.99,0.895505
16f65bde,38b3b6c6,1,V9,1,2,206.5,39.7875,39.2,2.82,0.55272
16f65bde,f76549ba,1,V9,1,3,267,41.7,54.1,2.94,0.79527
16f65bde,63e80e1c,1,V9,2,1,263,55.2,53.9,3.42,0.92169
16f65bde,995665ee,1,V9,2,2,264.5,48.0125,68.6,3.38,1.15934
16f65bde,22169d28,1,V9,2,3,269,52.6875,56.3,3.22,0.90643
16f65bde,3efae80a,1,V9,3,1,251,48.900000000000006,49.5,3.47,0.858825
16f65bde,faeb933a,1,V9,3,2,238.5,51.575,45.6,3.15,0.7182
16f65bde,52b89718,1,V9,3,3,277,53.0125,54.1,3.55,0.960275
16f65bde,dc2dd075,2,V9,1,1,352.5,36.5375,63,3.1,0.9765
16f65bde,78e42376,2,V9,1,2,377.5,42.0625,66.9,2.96,0.99012
16f65bde,730d179c,2,V9,1,3,332.5,41.3625,59.4,2.75,0.81675
16f65bde,9bff6e65,2,V9,2,1,299,48.5125,55.4,3.35,0.92795
16f65bde,c5833a76,2,V9,2,2,341,44.85,64.7,3.3,1.06755
16f65bde,d98c029e,2,V9,2,3,311,45.525,59.9,3.32,0.99434
16f65bde,ab864e0b,2,V9,3,1,276,41.85,76.3,2.96,1.12924
16f65bde,201acc30,2,V9,3,2,244,49.025000000000006,49.1,3.04,0.74632
16f65bde,b069ec73,2,V9,3,3,282.5,48.95,58.6,3.03,0.88779
16f65bde,b2a89781,3,V9,1,1,155.5,41.724999999999994,34,2.94,0.4998
16f65bde,9324ed5c,3,V9,1,2,209.5,47.475,48.3,3.1,0.74865
16f65bde,b522b750,3,V9,1,3,181.5,40.4625,37.7,3.27,0.616395
16f65bde,a3e4923b,3,V9,2,1,190.5,47.5625,39.2,3.4,0.6664
16f65bde,c873d17c,3,V9,2,2,213,48.925,44.9,3.76,0.84412
16f65bde,451cc25b,3,V9,2,3,243,55.675,49.9,3.02,0.75349
16f65bde,08bc6ce4,3,V9,3,1,167.5,46.662499999999994,34.4,3.4,0.5848
16f65bde,37a92bd7,3,V9,3,2,185,44.2375,38.7,3.27,0.632745
16f65bde,0585d585,3,V9,3,3,272.5,56.9875,52.8,3.56,0.93984
16f65bde,f4fe03d0,4,V9,1,1,247,47.337500000000006,66.2,3.37,1.11547
16f65bde,39c875ca,4,V9,1,2,221.5,52.6375,47,3.19,0.74965
16f65bde,05324b7e,4,V9,1,3,242,47.525,51.5,3.25,0.836875
16f65bde,71872a06,4,V9,2,1,261,44.7625,49,5.33,1.30585
16f65bde,f46dbd46,4,V9,2,2,286.5,46.650000000000006,54.8,3.34,0.91516
16f65bde,90c0d689,4,V9,2,3,313,44.974999999999994,59.2,3.4,1.0064
16f65bde,20441406,4,V9,3,1,274,44.8875,53.2,3.36,0.89376
16f65bde,c0f97d01,4,V9,3,2,253,46.65,49.8,3.44,0.85656
16f65bde,92da2599,4,V9,3,3,264,45.15,51.3,3.35,0.859275
34919977,81330953,1,V11,1,1,439,48.0625,137.3,2.79,1.915335
34919977,cdef8f78,1,V11,1,2,335,43.962500000000006,107.9,3.26,1.75877
34919977,9c5c30a3,1,V11,1,3,381,45.1875,136.2,2.83,1.92723
34919977,bf336f5d,1,V11,2,1,467,52.087500000000006,141.8,3.17,2.24753
34919977,959c0bcf,1,V11,2,2,463.5,45.4875,146.3,3.03,2.216445
34919977,9251cba0,1,V11,2,3,465.5,42.125,142.8,3.53,2.52042
34919977,7ab879a0,1,V11,3,1,529,50.875,180,3.13,2.817
34919977,ff985150,1,V11,3,2,473.5,43.150000000000006,168.7,3.38,2.85103
34919977,29999819,1,V11,3,3,499,43.8875,160.5,2.99,2.399475
34919977,a3c926cd,2,V11,1,1,385,45.8,118.3,3.08,1.82182
34919977,5a74a245,2,V11,1,2,349.5,46.95,106.7,3.08,1.64318
34919977,8d001c44,2,V11,1,3,440,41.1875,147.5,3.41,2.514875
34919977,f864ed7f,2,V11,2,1,480.5,43.125,166.3,2.73,2.269995
34919977,56bdd7fd,2,V11,2,2,420,47.537499999999994,155.9,3.16,2.46322
34919977,04c58b16,2,V11,2,3,490.5,47.775,180.5,3.43,3.095575
34919977,b5c75e04,2,V11,3,1,453.5,37.787499999999994,138.1,3.31,2.285555
34919977,0748b903,2,V11,3,2,481,45.0125,164,3.29,2.6978
34919977,57252ef3,2,V11,3,3,432.5,38.8,137.8,2.92,2.01188
34919977,4f7ccb89,3,V11,1,1,368.5,44.275000000000006,113.9,3.78,2.15271
34919977,36619768,3,V11,1,2,374,47.45,117.6,3.39,1.99332
34919977,4ab0d536,3,V11,1,3,393,46.85,113.9,3.43,1.953385
34919977,1dfda5ed,3,V11,2,1,461,45.2875,137.4,3.17,2.17779
34919977,bb227ef2,3,V11,2,2,279,43.775,85.7,3.74,1.60259
34919977,bb65d45d,3,V11,2,3,369.5,41.925,100.9,3.17,1.599265
34919977,7922af0e,3,V11,3,1,391,43.725,115.3,3.21,1.850565
34919977,ce17c202,3,V11,3,2,357,40.1375,102.9,3.22,1.65669
34919977,73991964,3,V11,3,3,333,42.1125,103.5,3.03,1.568025
34919977,53eb6cdd,4,V11,1,1,478.5,53,149.8,3.26,2.44174
34919977,ad0f5873,4,V11,1,2,462,50.4,153.1,3.42,2.61801
34919977,9e6cd968,4,V11,1,3,450.5,55.5375,115.9,3.5,2.02825
34919977,e061d649,4,V11,2,1,506.5,48.2375,154.1,3.46,2.66593
34919977,f2575904,4,V11,2,2,435,49.9625,133.8,3.43,2.29467
34919977,174a5551,4,V11,2,3,486,50.099999999999994,144.6,3.37,2.43651
34919977,f0b7b891,4,V11,3,1,470.5,46.1375,157.1,2.91,2.285805
34919977,eff96387,4,V11,3,2,407.5,43.3625,126.9,2.91,1.846395
34919977,32f7bdc6,4,V11,3,3,459,42.8625,143.8,2.91,2.09229
509be8a5,72f2bbbc,1,V9,1,1,356.5,60.9375,69.8,3.49,1.21801
509be8a5,89f6cb8f,1,V9,1,2,349,60.5875,67.1,3.58,1.20109
509be8a5,56364453,1,V9,1,3,294,60.400000000000006,58.8,3.59,1.05546
509be8a5,b171d8e6,1,V9,2,1,386,65.2875,68.2,3.44,1.17304
509be8a5,328a678a,1,V9,2,2,432.5,65.9875,77.3,3.7,1.43005
509be8a5,ca7ac5f5,1,V9,2,3,403.5,66.7,70.4,3.69,1.29888
509be8a5,20bf345e,1,V9,3,1,326.5,70.30000000000001,59.5,3.83,1.139425
509be8a5,e1f46e8c,1,V9,3,2,355.5,61.85,63.6,3.84,1.22112
509be8a5,e5620807,1,V9,3,3,321,68.0125,56.5,3.82,1.07915
509be8a5,c4e57f3d,2,V9,1,1,373.5,59.5625,63.9,3.57,1.140615
509be8a5,8c338ea4,2,V9,1,2,385.5,67.0125,69.6,3.76,1.30848
509be8a5,0830c78e,2,V9,1,3,347,55.0375,59.6,3.96,1.18008
509be8a5,59766e06,2,V9,2,1,348.5,65.1375,81.8,3.57,1.46013
509be8a5,423692a4,2,V9,2,2,407.5,64.475,77.6,3.44,1.33472
509be8a5,38bb3850,2,V9,2,3,325.5,69.5875,59.8,3.45,1.03155
509be8a5,c1a2821c,2,V9,3,1,377,64.2625,66.5,3.98,1.32335
509be8a5,8ae2f4ed,2,V9,3,2,379.5,62.362500000000004,68.4,3.91,1.33722
509be8a5,54d38ce9,2,V9,3,3,374,62.6375,70.4,3.53,1.24256
509be8a5,98b722d3,3,V9,1,1,374.5,69.5875,67.6,4.31,1.45678
509be8a5,c6e29c35,3,V9,1,2,316,53.037499999999994,64.3,3.8,1.2217
509be8a5,ab5b3d84,3,V9,1,3,188.5,63.4,57,3.83,1.09155
509be8a5,698bf72f,3,V9,2,1,179,51.6125,47.3,3.75,0.886875
509be8a5,8c424aa0,3,V9,2,2,352.5,58.5125,63.6,3.89,1.23702
509be8a5,6307d2d3,3,V9,2,3,269,55.962500000000006,52.3,3.04,0.79496
509be8a5,d065ab31,3,V9,3,1,209.5,46.349999999999994,40.5,3.69,0.747225
509be8a5,6ace73af,3,V9,3,2,227.5,51.099999999999994,43.9,3.44,0.75508
509be8a5,2f248141,3,V9,3,3,227.5,50.6125,44.8,3.49,0.78176
509be8a5,b474aefd,4,V9,1,1,384.5,67.8375,67.2,4.01,1.34736
509be8a5,95b5e559,4,V9,1,2,456,61.225,82.2,3.93,1.61523
509be8a5,9e75b9e0,4,V9,1,3,352,57.212500000000006,64,4.03,1.2896
509be8a5,1847d6d5,4,V9,2,1,310.5,48.474999999999994,56,3.64,1.0192
509be8a5,aecadfed,4,V9,2,2,324.5,54.9625,59.6,3.28,0.97744
509be8a5,f20c15a7,4,V9,2,3,359.5,57.287499999999994,64.1,3.26,1.04483
509be8a5,4919e560,4,V9,3,1,391.5,56.862500000000004,71.6,3.24,1.15992
509be8a5,4c42dddf,4,V9,3,2,328,52.8,56.9,3.36,0.95592
509be8a5,25ea87d6,4,V9,3,3,243,53.2625,46.2,3.39,0.78309
6538223f,5d696be1,1,V7,1,1,106,47.375,25.5,3.8,0.4845
6538223f,03a9165c,1,V7,1,2,55.5,35.55,14.5,4.26,0.30885
6538223f,8974a4a7,1,V7,1,3,49,34.125,13.7,4,0.274
6538223f,9123e7a0,1,V7,2,1,65.5,39,16.6,3.86,0.32038
6538223f,4f6e6fdd,1,V7,2,2,85,36.6125,22.7,3.99,0.452865
6538223f,e76365c8,1,V7,2,3,78.5,42.3875,21.7,3.84,0.41664
6538223f,56e51a28,1,V7,3,1,96,49.0125,23.5,3.8,0.4465
6538223f,48fd23e2,1,V7,3,2,92,44.625,22.2,4.09,0.45399
6538223f,3b50bcb2,1,V7,3,3,114.5,45.4125,29.1,4,0.582
6538223f,d5d81bb0,2,V7,1,1,111,40.6125,26,3.78,0.4914
6538223f,bfb380bf,2,V7,1,2,109,52,25.1,4.35,0.545925
6538223f,1c547e9a,2,V7,1,3,129,41.8125,29.3,3.96,0.58014
6538223f,b107df5e,2,V7,2,1,124.5,45.575,29.8,4.34,0.64666
6538223f,ed3a370b,2,V7,2,2,103,39.825,25.4,4.22,0.53594
6538223f,c04681d3,2,V7,2,3,128,40.650000000000006,30.9,4.02,0.62109
6538223f,2c0e469a,2,V7,3,1,93.5,36.4375,23.7,3.75,0.444375
6538223f,99d8215e,2,V7,3,2,93,37.287499999999994,21.5,3.79,0.407425
6538223f,311bbd37,2,V7,3,3,130.5,41.875,28.2,3.99,0.56259
6538223f,af5041d2,3,V7,1,1,108,44.7375,25.6,3.13,0.40064
6538223f,4cbf2053,3,V7,1,2,67,38.5,18.8,5,0.47
6538223f,0343db92,3,V7,1,3,82.5,42.6125,21.5,3.48,0.3741
6538223f,3206b803,3,V7,2,1,73.5,40.4625,19.5,3.73,0.363675
6538223f,de90d5c4,3,V7,2,2,90,48,23.2,3.82,0.44312
6538223f,7a7853f9,3,V7,2,3,108,43.8125,26.5,3.98,0.52735
6538223f,9145f5d5,3,V7,3,1,107.5,42.3625,25.9,3.91,0.506345
6538223f,aa625837,3,V7,3,2,85,37.775,21.7,3.72,0.40362
6538223f,7d18b96f,3,V7,3,3,110,43.825,28.5,3.84,0.5472
6538223f,8fd8aaa8,4,V7,1,1,96.5,34.2,22.5,3.22,0.36225
6538223f,567011e2,4,V7,1,2,134,38.425,32.2,3.61,0.58121
6538223f,02f23373,4,V7,1,3,86.5,40.625,22,3.89,0.4279
6538223f,e5bbcd0b,4,V7,2,1,83,43.55,20,3.48,0.348
6538223f,dc60cd78,4,V7,2,2,93,37.925,23.1,3.95,0.456225
6538223f,2a771562,4,V7,2,3,95.5,39.1,24.2,3.62,0.43802
6538223f,a7db628e,4,V7,3,1,93.5,32.775000000000006,23.9,4.15,0.495925
6538223f,bc952b46,4,V7,3,2,115.5,30.0625,28.5,3.6,0.513
6538223f,f54dd519,4,V7,3,3,99,29.875,25.8,3.88,0.50052
9e3d7e24,ea009775,1,V11,1,1,358,53.85,91.2,1.95,0.8892
9e3d7e24,b5471948,1,V11,1,2,405,53.3125,103.2,2.28,1.17648
9e3d7e24,041bc2d9,1,V11,1,3,337,48.1375,85.8,2.22,0.95238
9e3d7e24,189953a8,1,V11,2,1,388.5,49.7375,101.8,2.67,1.35903
9e3d7e24,09bc22cb,1,V11,2,2,378,44.6875,102.9,2.14,1.10103
9e3d7e24,2b7bf23f,1,V11,2,3,289,42.575,80.7,2.13,0.859455
9e3d7e24,b62baaaa,1,V11,3,1,392,53.8125,112.2,2.04,1.14444
9e3d7e24,c6155d6a,1,V11,3,2,346,44.3,99.4,2.18,1.08346
9e3d7e24,5dfa0d8c,1,V11,3,3,370,47.337500000000006,110.3,2.46,1.35669
9e3d7e24,d816de20,2,V11,1,1,297,33.825,87.7,2.14,0.93839
9e3d7e24,c5a19ada,2,V11,1,2,274,47.7,77.8,2.12,0.82468
9e3d7e24,4fd00f34,2,V11,1,3,291,45.3125,85.2,2.28,0.97128
9e3d7e24,9915c562,2,V11,2,1,292,48.375,83.6,2.27,0.94886
9e3d7e24,01bbcfde,2,V11,2,2,253,50.375,73.7,2.38,0.87703
9e3d7e24,a5081c5f,2,V11,2,3,284,45.025000000000006,84.5,2.27,0.959075
9e3d7e24,dd29c727,2,V11,3,1,347,51.575,96.6,2.68,1.29444
9e3d7e24,a751acc5,2,V11,3,2,276,46.712500000000006,79.1,2.67,1.055985
9e3d7e24,156a74f7,2,V11,3,3,257,46.825,76.1,2.16,0.82188
9e3d7e24,c50cc377,3,V11,1,1,303,47.625,83.8,2.34,0.98046
9e3d7e24,69921f2b,3,V11,1,2,269.5,45.075,71.9,2.7,0.97065
9e3d7e24,2debecb4,3,V11,1,3,266.5,43.2375,68.9,2.34,0.80613
9e3d7e24,19180cc6,3,V11,2,1,277,50.525,72.9,2.31,0.841995
9e3d7e24,1588448b,3,V11,2,2,308,50.675,77.4,2.33,0.90171
9e3d7e24,83c81f46,3,V11,2,3,193.5,45.9375,52.3,2.36,0.61714
9e3d7e24,2cbc856f,3,V11,3,1,291,44.587500000000006,79.3,2.18,0.86437
9e3d7e24,00fe0502,3,V11,3,2,277,43.4875,77.2,1.9,0.7334
9e3d7e24,71dceed1,3,V11,3,3,297.5,44.3125,82.4,2.21,0.91052
9e3d7e24,dbbbcf43,4,V11,1,1,236,46.15,68.8,2.03,0.69832
9e3d7e24,f5f1959d,4,V11,1,2,476,46.037499999999994,141.1,2.2,1.5521
9e3d7e24,dbfcf9e8,4,V11,1,3,309,43.275000000000006,83.6,2.47,1.03246
9e3d7e24,61eba6fe,4,V11,2,1,278,47.0625,84.8,2.16,0.91584
9e3d7e24,f307b102,4,V11,2,2,394,47.2375,113.2,2.06,1.16596
9e3d7e24,03c5c620,4,V11,2,3,333,44.5375,92.7,2.08,0.96408
9e3d7e24,d42a4ddb,4,V11,3,1,316,50.45,92.6,2.04,0.94452
9e3d7e24,80703dff,4,V11,3,2,316,51.3,92.1,1.92,0.88416
9e3d7e24,7a2e2a59,4,V11,3,3,467,48.7,106.6,2.24,1.19392
aa1d3e3b,35ea86ad,1,V9,1,1,171,44.05,40.8,2.55,0.5202
aa1d3e3b,76d04ebe,1,V9,1,2,238,43.3125,57.6,2.48,0.71424
aa1d3e3b,d0c3545b,1,V9,1,3,196,42.925,46.8,2.35,0.54990000000000006
aa1d3e3b,e93e4b2e,1,V9,2,1,224,46.075,53.6,2.68,0.71824
aa1d3e3b,d190ec1a,1,V9,2,2,203,45.525000000000006,46.5,2.28,0.5301
aa1d3e3b,742927a2,1,V9,2,3,234,52.412499999999994,52.5,2.23,0.585375
aa1d3e3b,e6bd9d45,1,V9,3,1,199,44.275000000000006,43.5,2.67,0.580725
aa1d3e3b,c9593e3b,1,V9,3,2,294,41.5625,70.1,2,0.701
aa1d3e3b,99e832c5,1,V9,3,3,199,41.425,47,2.58,0.6063
aa1d3e3b,f933d94e,2,V9,1,1,290,53.9,63.3,2.88,0.91152
aa1d3e3b,b03e8401,2,V9,1,2,184,43.412499999999994,40.1,2.63,0.527315
aa1d3e3b,e7e3a3e4,2,V9,1,3,200,43.3,47.2,2.92,0.68912
aa1d3e3b,32ddfdb6,2,V9,2,1,181,48.7,46.2,3.22,0.74382
aa1d3e3b,d98a573f,2,V9,2,2,198,47.837500000000006,44.6,2.4,0.5352
aa1d3e3b,10407587,2,V9,2,3,207,47.575,52.3,2.4,0.6276
aa1d3e3b,6eeb643a,2,V9,3,1,222,48.475,55.2,2.56,0.70656
aa1d3e3b,048d5585,2,V9,3,2,224,44.4,56.7,2.45,0.694575
aa1d3e3b,b6c4e5d0,2,V9,3,3,201,45.1125,50.4,2.36,0.59472
aa1d3e3b,fab35829,3,V9,1,1,302,49.225,72.7,2.43,0.883305
aa1d3e3b,b25cab0e,3,V9,1,2,232,54.0875,56.7,2.62,0.74277
aa1d3e3b,466ac431,3,V9,1,3,277,46.3,66,2.66,0.8778
aa1d3e3b,be8e7e32,3,V9,2,1,294,50.8125,74,2.59,0.9583
aa1d3e3b,74160292,3,V9,2,2,230,43.625,57.7,2.43,0.701055
aa1d3e3b,565282be,3,V9,2,3,280,46.75,71.8,2.54,0.91186
aa1d3e3b,ad53ca61,3,V9,3,1,275,48.175,65.3,3.3,1.07745
aa1d3e3b,03e0b33a,3,V9,3,2,173,43.724999999999994,40.5,2.82,0.57105
aa1d3e3b,fdae952d,3,V9,3,3,149,48.025000000000006,33.9,2.67,0.452565
aa1d3e3b,6e15d706,4,V9,1,1,268,51.125,59.9,2.41,0.721795
aa1d3e3b,10ba21d7,4,V9,1,2,176,44.675,38.9,2.46,0.47847
aa1d3e3b,ebba900d,4,V9,1,3,219,43.125,49.3,2.76,0.68034
aa1d3e3b,a5e9cdb2,4,V9,2,1,330,46.075,72,2.47,0.8892
aa1d3e3b,95929607,4,V9,2,2,315,44.775000000000006,69.9,2.36,0.82482
aa1d3e3b,1928041a,4,V9,2,3,281,47.650000000000006,62,2.79,0.8649
aa1d3e3b,42e243bf,4,V9,3,1,341,41.537499999999994,75.8,2.84,1.07636
aa1d3e3b,54759ca8,4,V9,3,2,300,45.5,66.4,2.45,0.8134
aa1d3e3b,b2c6a176,4,V9,3,3,320,42.212500000000006,71.4,2.54,0.90678
c703c651,a6315bde,1,VT,1,1,627,42.3625,287.8,2.9,4.1731
c703c651,b7522e1c,1,VT,1,2,543.5,47.6125,247.6,2.12,2.62456
c703c651,af9987e1,1,VT,1,3,507.5,44.4375,268,2.68,3.5912
c703c651,cde159aa,1,VT,2,1,633.5,42.3125,249.9,2.58,3.22371
c703c651,e27930f7,1,VT,2,2,574,40.875,338.3,2.76,4.66854
c703c651,e3e73c7f,1,VT,2,3,602,40.075,215.2,2.38,2.56088
c703c651,3c3fe9b5,1,VT,3,1,592.5,29.7125,261.6,2.28,2.98224
c703c651,3183f397,1,VT,3,2,558,35.975,183.3,2.36,2.16294
c703c651,b3a31e2a,1,VT,3,3,595.5,47.5625,198.2,2.22,2.20002
c703c651,5c82b0b8,2,VT,1,1,618,34.099999999999994,265.7,3.19,4.237915
c703c651,3c71f641,2,VT,1,2,474,40.325,196.4,2.27,2.22914
c703c651,b564735b,2,VT,1,3,548.5,38.3625,345,2.46,4.2435
c703c651,7431771e,2,VT,2,1,573,39.025000000000006,240,2.24,2.688
c703c651,bdec700b,2,VT,2,2,602.5,35.1875,230,1.9,2.185
c703c651,f50c8891,2,VT,2,3,481,43.1625,269.4,2.41,3.24627
c703c651,e0eecd02,2,VT,3,1,563,29.5625,234.1,2.58,3.01989
c703c651,8835a774,2,VT,3,2,439,33.087500000000006,233.8,2.91,3.40179
c703c651,3a1eab81,2,VT,3,3,469.5,38.025000000000006,219.3,1.97,2.160105
c703c651,5e9a8530,3,VT,1,1,408,45.7,142.4,2.48,1.76576
c703c651,f4dfd95c,3,VT,1,2,457.5,44.825,230.2,3.11,3.57961
c703c651,190b4287,3,VT,1,3,426.5,43.7375,211,2.39,2.52145
c703c651,04c985d7,3,VT,2,1,437,43.1875,149.3,2.43,1.813995
c703c651,fd5e6816,3,VT,2,2,420,47.337500000000006,138.2,2.17,1.49947
c703c651,294f408d,3,VT,2,3,556,45.650000000000006,337.2,3.22,5.42892
c703c651,3e370886,3,VT,3,1,309.5,41.45,95.6,2.07,0.98946
c703c651,f89c7aaa,3,VT,3,2,370.5,43.25,126.9,2.4,1.5228
c703c651,e0313842,3,VT,3,3,505,46.8125,231.9,1.89,2.191455
c703c651,493891a6,4,VT,1,1,431.5,56.825,171.1,2.05,1.753775
c703c651,f941e8c0,4,VT,1,2,503,42.7,178.5,2.74,2.44545
c703c651,e3fbcf31,4,VT,1,3,490.5,45.8875,177.4,2.96,2.62552
c703c651,862ce0c6,4,VT,2,1,576.5,44.475,214.7,2.94,3.15609
c703c651,d4c94fdd,4,VT,2,2,609.5,51.2375,228.4,2.91,3.32322
c703c651,022079ed,4,VT,2,3,562.5,38.1875,228.3,2.5,2.85375
c703c651,05239a9c,4,VT,3,1,348.5,42.075,117.4,2.66,1.56142
c703c651,bcf99810,4,VT,3,2,487,39.3125,186.9,2.45,2.289525
c703c651,90b43a12,4,VT,3,3,602.5,40.875,256.9,2.75,3.532375
e3f59bc0,ef3bea01,1,V7,1,1,76,48.6,16.4,3.56,0.29192
e3f59bc0,8203f24a,1,V7,1,2,68.5,40.0375,21,3.61,0.37905
e3f59bc0,4f3193ed,1,V7,1,3,101,48,22.4,3.6,0.4032
e3f59bc0,3da07b21,1,V7,2,1,121,53.8375,27.4,3.75,0.51375
e3f59bc0,8df51e95,1,V7,2,2,89.5,45.087500000000006,19.2,4.35,0.4176
e3f59bc0,0ab3acc7,1,V7,2,3,86,40.3,19.6,4.23,0.41454
e3f59bc0,fc82cde5,1,V7,3,1,81,53.5375,18.4,4.44,0.40848
e3f59bc0,72f3ab4d,1,V7,3,2,104,81.3625,24.1,3.58,0.43139
e3f59bc0,ccae0aba,1,V7,3,3,77.5,46.9625,13.6,4.26,0.28968
e3f59bc0,b459ba83,2,V7,1,1,82.5,44.65,18.2,3.88,0.35308
e3f59bc0,1a54adf4,2,V7,1,2,104,46.025,24.1,3.63,0.437415
e3f59bc0,f3e33848,2,V7,1,3,90.5,48.05,21.5,3.41,0.366575
e3f59bc0,7a491aa7,2,V7,2,1,102.5,54.9375,22.7,4.1,0.46535
e3f59bc0,81831b11,2,V7,2,2,98,49.1125,22.7,3.91,0.443785
e3f59bc0,f88a2da1,2,V7,2,3,116.5,47.825,27.2,3.9,0.5304
e3f59bc0,a0bf8dcb,2,V7,3,1,93.5,40.15,22.4,3.63,0.40656
e3f59bc0,d8956206,2,V7,3,2,89.5,42.650000000000006,21.4,3.91,0.41837
e3f59bc0,979e4b88,2,V7,3,3,94.5,41.6625,22,4,0.44
e3f59bc0,2eb862e2,3,V7,1,1,175,53.35,34.5,3.4,0.5865
e3f59bc0,61ebad98,3,V7,1,2,139.5,48.150000000000006,28.8,3.39,0.48816
e3f59bc0,64bacf0c,3,V7,1,3,144,45.8125,30.4,3.25,0.494
e3f59bc0,055eff4d,3,V7,2,1,121,39.8125,25,3.63,0.45375
e3f59bc0,8e54de51,3,V7,2,2,103.5,40.9125,27.9,3.42,0.47709
e3f59bc0,f865b162,3,V7,2,3,129,44.9875,25.5,3.29,0.419475
e3f59bc0,c06ee195,3,V7,3,1,130,47.849999999999994,24,4.27,0.5124
e3f59bc0,788a97e4,3,V7,3,2,141.5,50.5,26.2,3.36,0.44016
e3f59bc0,550ce6f0,3,V7,3,3,126,44.8875,26,3.54,0.4602
e3f59bc0,d6bfb061,4,V7,1,1,126.5,49.2375,30,3.98,0.597
e3f59bc0,abf18c67,4,V7,1,2,125,45.6125,28.8,3.83,0.55152
e3f59bc0,6a447129,4,V7,1,3,101.5,60.2125,23.3,4.25,0.495125
e3f59bc0,c6542e9e,4,V7,2,1,82,47.9875,18.5,3.69,0.341325
e3f59bc0,6158cca3,4,V7,2,2,126.5,57.037499999999994,29.1,4.07,0.592185
e3f59bc0,2e1075cd,4,V7,2,3,124.5,52.6375,27.8,3.71,0.51569
e3f59bc0,d11dda89,4,V7,3,1,146,57.7125,29.5,4.56,0.6726
e3f59bc0,8c74ad68,4,V7,3,2,159.5,55.9375,34.5,4.22,0.72795
e3f59bc0,d8c82e31,4,V7,3,3,105,55.075,22.9,4.39,0.502655
